air_date,round,category,value,question,answer
12/31/04,Final Jeopardy!,THE SOLAR SYSTEM,,Objects that pass closer to the sun than Mercury have been named for this mythological figure,Icarus
7/6/10,Final Jeopardy!,HISTORIC WOMEN,,"She was born in Virginia around 1596 & died in Kent, England in 1617",Pocahontas
12/18/00,Final Jeopardy!,SPORTS LEGENDS,,"If Joe DiMaggio's hitting streak had gone one more game in 1941, this company would have given him a $10,000 contract",H.J. Heinz (Heinz 57 Varieties)
7/19/00,Final Jeopardy!,THE MAP OF EUROPE,,"Bordering Italy, Austria, Hungary & Croatia, it's one of the world's newest independent countries",Slovenia
2/6/06,Final Jeopardy!,FAMOUS SHIPS,,"On December 27, 1831 it departed Plymouth, England to map the coastline of South America",the HMS Beagle
5/8/09,Final Jeopardy!,EUROPEAN HISTORY,,"He filed for divorce citing Leviticus 20:21, ""If a man shall take his brother's wife, it is an unclean thing""",Henry VIII
12/6/96,Final Jeopardy!,BRITISH NOVELS,,"This 1895 novel is subtitled ""An Invention""",The Time Machine
12/7/10,Final Jeopardy!,FLAGS OF THE WORLD,,"In use from 1844 to 1905, a flag representing the union of these 2 countries was nicknamed the ""herring salad""",Norway and Sweden
5/30/07,Final Jeopardy!,THE BRITISH THEATRE,,"Richard Attenborough, who was in the original 1952 cast of this play, helped celebrate its performance No. 20,000 in 2000",The Mousetrap
11/10/97,Final Jeopardy!,THE CONSTITUTION,,"Word completing the line ""Nor shall any person be subject for the same offense to be twice put in"" this",Jeopardy
6/11/02,Final Jeopardy!,GEOGRAPHIC PHRASES,,"This common term originated in the early 1500s with the book ""De Rebus Oceanicis et Novo Orbe""",the New World
6/21/96,Final Jeopardy!,AMERICAN HISTORY,,"On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word",Treason!
2/8/10,Final Jeopardy!,RANKS & TITLES,,"Owain Glyndwr, who died circa 1416, was the last native of his country to claim this title",Prince of Wales
6/6/03,Final Jeopardy!,CANDY,,"Bill Harmsen, who raised horses in Colo., happily founded this candy co. in 1949 to make money during the winter",Jolly Rancher
5/10/04,Final Jeopardy!,THE PRESIDENCY,,"If a president is impeached, this official presides over the trial in the Senate",the Chief Justice of the United States
4/12/01,Final Jeopardy!,THEATRE,,"The 1996 musical ""Play On!"" gets its title from the first line of this Shakespeare play, on which it is based","\""Twelfth Night\"""
5/4/00,Final Jeopardy!,FILM CLASSICS,,This 1951 classic stars the AFI's top picks for the greatest male & female film legends,The African Queen (Humphrey Bogart & Katharine Hepburn)
1/6/00,Final Jeopardy!,NONFICTION AUTHORS,,"First published in 1946, a book written by this man became the bestselling book in the U.S. after the Bible","Dr. Benjamin Spock (\""Baby and Child Care\"")"
5/10/02,Final Jeopardy!,KNOWLEDGE BY THE NUMBERS,,Number of males who served as British PM in the 1990s plus Oscars won by Tom Hanks plus protons in a helium nucleus,6 (2 + 2 + 2)
3/8/90,Final Jeopardy!,FAMOUS NAMES,,"He published a history of Virginia & New England in 1624, after escaping from Turks, Indians & pirates",Captain John Smith
4/10/90,Final Jeopardy!,CABLE TELEVISION,,"The name of this channel can be traced back to a movie theater that opened in 1905 in McKeesport, Pa.",Nickelodeon
2/13/06,Final Jeopardy!,THE 50 STATES,,"Since 1776, it has been the only U.S. state to be the most populous state for more than a century",New York
5/23/00,Final Jeopardy!,ASIA,,It's Asia's southernmost national capital,Jakarta (Indonesia)
3/30/99,Final Jeopardy!,WORLD GEOGRAPHY,,One story says this point was so named becuase it was a positive sign of a sea route from Europe to India,Cape of Good Hope
3/17/06,Final Jeopardy!,20th CENTURY BOOKS,,"Chapter I of this book tells us: ""Worse than the ordinary miserable childhood is the miserable Irish childhood...""",Angela's Ashes (by Frank McCourt)
2/5/08,Final Jeopardy!,19th CENTURY POLITICIANS,,"As Territories Committee chair, this Midwest senator helped draw the borders of 7 territories, including Kansas & Nebraska",Stephen Douglas
11/20/09,Final Jeopardy!,PRESIDENTIAL ELECTIONS,,He was the last sitting president to run for re-election & finish third in the Electoral College,William Howard Taft
3/30/11,Final Jeopardy!,INFLUENTIAL 19th CENTURY THINKERS,,"At the University of Bonn in 1836, he was wounded in a duel with a member of an aristocratic Prussian fraternity",Karl Marx
12/5/08,Final Jeopardy!,HISTORIC PROPERTY TRANSACTIONS,,"On May 15, 1768 France bought this island from Genoa for 2 million livres",Corsica
1/27/05,Final Jeopardy!,MOUNTAINS,,"To trek through its Khumbu Icefall, Lhotse Face & South Col, your team needs a $70,000 permit from Nepal's government",Mount Everest
2/25/98,Final Jeopardy!,ASIA,,19th century novelist Jose Rizal was a hero of this country's independence movement,the Philippines
9/7/99,Final Jeopardy!,EMPIRES,,"In the early 1800s, this man's empire included the duchy of Warsaw, the kingdom of Naples & Spain",Napoleon
1/19/12,Final Jeopardy!,SPORTS & THE MOVIES,,"When asked for a home address in ""The Blues Bros."" Elwood gives 1060 W. Addison St., the home of this facility",Wrigley Field
9/27/99,Final Jeopardy!,FICTION,,This 1937 mystery was written at the Old Cataract Hotel in Aswan,"\""Death on the Nile\"""
5/29/92,Final Jeopardy!,VICE PRESIDENTS,,"He served FDR as Commerce Secretary, Agriculture Secretary, and Vice President",Henry Wallace
9/20/10,Final Jeopardy!,THE WESTERN HEMISPHERE,,"Made up of 1 large & many smaller islands, it's the most populous of Britain's remaining overseas territories",Bermuda
2/24/98,Final Jeopardy!,FAMOUS VOYAGES,,Capt. Robert Fitzroy of this ship argued that its scientific discoveries supported the Bible,the Beagle
3/31/08,Final Jeopardy!,BEFORE THEY WERE SENATORS,,"Later a U.S. senator, in 1962 he made a famous 75,000-mile trip",John Glenn
2/13/09,Final Jeopardy!,CLASSIC MOVIE CHARACTERS,,"The parents of this 1942 film character are an unnamed mother & a father known as ""the great prince of the forest""",Bambi
7/23/04,Final Jeopardy!,SHAKESPEARE,,2 of the 4 Shakespeare plays in which ghosts appear on stage,"(2 of) Hamlet, Julius Caesar, Macbeth, Richard III"
7/16/98,Final Jeopardy!,TELEVISION & HISTORY,,"When ""60 Minutes"" premiered, this man was U.S. president","Lyndon B. Johnson (show premiered Sept. 24, 1968)"
